country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",26-03-2026 08:00:00,14.675886,77.593027,NO2,13,30,19
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",26-03-2026 08:00:00,14.675886,77.593027,NH3,4,8,5
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-03-2026 08:00:00,13.204880,79.097889,PM2.5,46,71,59
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-03-2026 08:00:00,13.204880,79.097889,CO,22,54,49
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-03-2026 08:00:00,13.204880,79.097889,OZONE,22,29,27
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",26-03-2026 08:00:00,16.711754,81.092095,SO2,6,14,8
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",26-03-2026 08:00:00,16.316553,80.413302,CO,12,24,16
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",26-03-2026 08:00:00,14.465052,78.824187,SO2,9,19,16
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",26-03-2026 08:00:00,16.186555,81.13219,NO2,7,31,16
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-03-2026 08:00:00,26.987634,94.636574,OZONE,13,52,19
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26-03-2026 08:00:00,26.146529,87.454184,PM2.5,53,386,148
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26-03-2026 08:00:00,26.146529,87.454184,NH3,4,5,5
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26-03-2026 08:00:00,26.146529,87.454184,SO2,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-03-2026 08:00:00,25.5626095,84.663264,PM2.5,27,330,87
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",26-03-2026 08:00:00,24.75746,84.366208,SO2,12,16,13
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",26-03-2026 08:00:00,25.42742023,86.13886079,PM2.5,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26-03-2026 08:00:00,26.80365,84.51954,PM2.5,12,87,42
